\ODISEA_C4_ID  RA            Dec           F1.3  eF1.3 Major  eMajor Minor eMinor   PA     ePA
\              (J2000.0)     (J2000.0)     (mJy) (mJy) (mas)  (mas)  (mas) (mas)   (deg)  (deg)
ODISEA_C4_097  16:27:32.128 -24:29:44.20   4.44  1.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_098  16:27:33.104 -24:41:15.73  27.30  0.27   ...    ...    ...    ...    ...    ... 
ODISEA_C4_099  16:27:37.241 -24:42:38.44   5.38  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_100  16:27:38.313 -24:36:59.02  25.37  0.15  730.9    1.8  255.0    1.6   16.1   57.3
ODISEA_C4_101  16:27:38.323 -23:57:32.95   5.25  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_102  16:27:38.934 -24:40:21.07  39.50  0.19  261.4    2.5  239.8   14.4  128.2   57.3
ODISEA_C4_103  16:27:39.004 -23:58:19.18  33.64  0.47  222.8   45.6  222.8   87.4   11.9   57.3
ODISEA_C4_104  16:27:39.422 -24:39:15.97  66.58  0.61  208.2    4.8  168.0    5.2  103.7    2.3
ODISEA_C4_105A 16:27:39.816 -24:43:15.52  76.33  0.49  190.8    4.8  136.1    3.5  118.6    1.6
ODISEA_C4_105B 16:27:39.841 -24:43:13.90   6.65  0.28   ...    ...    ...    ...    ...    ... 
ODISEA_C4_106B 16:27:40.271 -24:22:03.95   1.80  0.23   ...    ...    ...    ...    ...    ... 
ODISEA_C4_106A 16:27:40.273 -24:22:04.60   6.28  0.22   ...    ...    ...    ...    ...    ... 
ODISEA_C4_107  16:27:41.599 -24:46:45.12  13.83  0.19  206.9    6.2  143.1   20.6   49.6    1.1
ODISEA_C4_108  16:27:41.739 -24:43:36.53   3.53  0.29   ...    ...    ...    ...    ...    ... 
ODISEA_C4_109     ...           ...       -0.13  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_110     ...           ...       -0.13  0.12   ...    ...    ...    ...    ...    ... 
ODISEA_C4_111  16:27:48.230 -24:42:26.05   1.32  0.25   ...    ...    ...    ...    ...    ... 
ODISEA_C4_112  16:27:51.790 -24:31:46.06   2.93  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_113  16:27:55.568 -24:26:18.48   3.43  0.11   ...    ...    ...    ...    ...    ... 
ODISEA_C4_114  16:28:16.502 -24:36:58.49  98.30  0.33  516.8    2.1  478.9    5.5  135.5    5.8
ODISEA_C4_115  16:28:16.727 -24:05:14.89   1.73  0.29   ...    ...    ...    ...    ...    ... 
ODISEA_C4_116  16:28:23.336 -24:22:41.06  16.96  0.19  837.3    5.0  374.9    3.0   56.0    5.0
ODISEA_C4_117A 16:28:45.260 -24:28:19.40  60.00  0.23   ...    ...    ...    ...    ...    ... 
ODISEA_C4_117B 16:28:45.280 -24:28:19.40  15.00  0.23   ...    ...    ...    ...    ...    ... 
ODISEA_C4_118  16:28:54.068 -24:47:44.73  13.55  0.14  172.1    6.1  172.1   12.3  122.3    5.6
ODISEA_C4_119  16:28:57.867 -24:40:55.40   2.97  0.12   ...    ...    ...    ...    ...    ... 
ODISEA_C4_120     ...           ...        0.19  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_121  16:30:23.396 -24:54:16.58   7.47  0.14  153.7    9.8  107.6   24.1   22.3   13.5
ODISEA_C4_122  16:31:05.159 -24:04:40.75   1.43  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_123  16:31:15.737 -24:34:02.55   2.31  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_124  16:31:29.223 -24:04:31.64   0.73  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_125A 16:31:30.873 -24:24:40.31  15.90  0.39   ...    ...    ...    ...    ...    ... 
ODISEA_C4_125B 16:31:31.027 -24:24:37.53   3.24  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_126  16:31:31.243 -24:26:28.43  42.12  0.28  726.7    5.5  234.8    5.0   56.0   10.0
ODISEA_C4_127  16:31:33.463 -24:27:37.29  84.87  0.53 1046.9   14.6 1046.9   14.6  -29.6    1.3
ODISEA_C4_128  16:31:33.829 -24:04:47.09   2.08  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_129  16:31:34.293 -24:03:25.75   0.65  0.14   ...    ...    ...    ...    ...    ... 
ODISEA_C4_130  16:31:35.657 -24:01:29.95 334.59  0.28  476.0    0.5  334.2    0.1  147.1    0.1
ODISEA_C4_131  16:31:36.783 -24:04:20.39  13.35  0.37   ...    ...    ...    ...    ...    ... 
ODISEA_C4_132  16:31:43.754 -24:55:24.95   9.55  0.13  123.0    7.4  108.6    7.4  155.6   57.3
ODISEA_C4_133  16:31:44.580 -24:02:13.55   8.71  0.31   ...    ...    ...    ...    ...    ... 
ODISEA_C4_134B 16:31:51.916 -24:56:17.43   2.19  0.19   ...    ...    ...    ...    ...    ... 
ODISEA_C4_134A 16:31:52.112 -24:56:16.09  45.34  0.51  116.1    5.4   92.5   11.9    9.0   19.3
ODISEA_C4_135  16:31:52.445 -24:55:36.54   3.45  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_136     ...           ...       -0.03  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_137     ...           ...        0.04  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_138  16:32:05.533 -25:02:36.73   3.32  0.25   ...    ...    ...    ...    ...    ... 
ODISEA_C4_139  16:32:21.048 -24:30:36.36  11.80  0.14   ...    ...    ...    ...    ...    ... 
ODISEA_C4_140  16:32:21.924 -24:42:15.26   3.84  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_141  16:33:55.619 -24:42:05.31  79.75  0.37  701.0    8.0  701.0    8.0  -31.6   10.0
ODISEA_C4_142     ...           ...       -0.15  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_143  16:39:45.434 -24:02:03.99 191.46  0.53 1303.2   12.0  794.2   52.3   -7.7    0.7
ODISEA_C4_144  16:39:52.910 -24:19:31.64   7.85  0.18  467.0   37.0   39.0   36.0   ...    ... 
ODISEA_C4_145     ...           ...        0.11  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_146     ...           ...        0.08  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_147     ...           ...        0.09  0.16   ...    ...    ...    ... `  ...    ...
#Comments: 
#The ODISEA_C4 designation indicates that the data were obtained in ALMA Cycle-4. 
#The next number denotes  the corresponding target  in Table 1. 
#Sources with no RA and Dec information have not been detected by our ALMA observations.
#Sources with position information but no size information have been detected but remain unresolved.  
#The major and minor axis information correspond to FWHM values.
