# %ECSV 0.9
# ---
# datatype:
# - {name: '[MGM2012]', datatype: int16}
# - {name: RA, datatype: string}
# - {name: Dec, datatype: string}
# - {name: d, datatype: float64}
# - {name: l_F_225GHz, datatype: string}
# - {name: F_225GHz, datatype: float64}
# - {name: e_F_225GHz, datatype: float64}
# - {name: l_M_dust, datatype: string}
# - {name: M_dust, datatype: float64}
# - {name: e_M_dust, datatype: float64}
# - {name: resolved, datatype: int64}
# schema: astropy-2.0
[MGM2012] RA Dec d l_F_225GHz F_225GHz e_F_225GHz l_M_dust M_dust e_M_dust resolved
99 05:42:22.40 -09:44:20.62 449.72126539901086 < 0.34688845218141234 0.08672211304535309 < 2.1449858690030927 0.5362464672507732 0
100 05:41:16.52 -09:44:14.70 446.40306060620026 "" 0.377305899746716 0.0912573031957672 "" 2.298770779784746 0.5559934847804155 0
101 05:41:12.85 -09:39:39.40 445.4165511018762 < 0.3159042466881755 0.07897606167204388 < 1.9161782694109786 0.47904456735274464 0
102 05:42:49.49 -09:38:42.20 448.4737980546941 "" 12.847292236983776 0.10177910696470727 "" 79.0011652767371 0.6258648050279964 0
104 05:40:43.09 -09:37:07.76 444.2323241601427 < 0.38906476694458275 0.09726619173614569 < 2.347415464454396 0.586853866113599 0
105 05:41:03.29 -09:36:51.96 444.64724650702686 "" 5.58279687538743 0.09077393036477739 "" 33.74665924303851 0.5487064932769676 1
106 05:40:41.48 -09:36:25.96 444.05803405235304 < 0.36172260653780797 0.09043065163445199 < 2.180734831448276 0.545183707862069 0
107 05:40:30.37 -09:35:53.22 443.6938527762154 "" 2.1946111228317022 0.08279811302198495 "" 13.209067041784532 0.4983506255219702 0
108 05:41:33.61 -09:34:44.92 444.931905848611 "" 0.7964092656038702 0.09050865903315242 "" 4.8202675975391855 0.5478037176067063 0
109 05:40:52.58 -09:34:39.22 443.96495564273266 < 0.3839357729513266 0.09598394323783165 < 2.3136821973346726 0.5784205493336682 0
110 05:41:36.27 -09:34:00.36 444.84746212875046 < 0.3572020120324473 0.08930050300811182 < 2.161144848056803 0.5402862120142008 0
111 05:42:03.36 -09:32:53.72 445.25530304861826 < 0.3472366195493863 0.08680915488734657 < 2.1047061294677034 0.5261765323669259 0
112 05:41:03.94 -09:32:21.56 443.7768640706191 "" 0.7981196395121515 0.09005648514633464 "" 4.8055716455602955 0.5422406242033825 0
113 05:41:09.16 -09:32:14.66 443.87507780499544 < 0.37770975662380485 0.09442743915595121 < 2.2752413451913998 0.5688103362978499 0
114 05:40:52.81 -09:32:10.72 443.4838387507366 < 0.38201171760147346 0.09550292940036836 < 2.297100654157682 0.5742751635394205 0
